"EventType","ID","Classification","Title","Workload","Status","StartTime","LastUpdatedTime","EndTime","ActionType","AffectedTenantCount","Message","MessageType","WorkloadDisplayName","Feature","FeatureDisplayName","PostIncidentDocumentUrl","Severity","ImpactDescription"
"New","EX174013","Advisory","Unable to execute some provisioning workflows","Exchange","Service restored","2/17/2019 10:10:00 AM","2/23/2019 8:41:23 AM","2/23/2019 7:50:00 AM","","16133687","Title: Unable to execute some provisioning workflows

User Impact: Affected admins were unable to execute some provisioning workflows.

More info: Affected admins were receiving an error within the provisioning page of the admin portal when attempting to assign licenses to users, or move users in or out of a group with the affected SKUs. Impact was predominately to groups and users with E3 licenses, though other license types may have also have been affected.

Final status: We've deployed a fix that removes the dependency on MyAnalytics and we've confirmed that impact has been remediated.

Scope of impact: This issue may have potentially affected any admins attempting to assign licenses or manage groups with the affected SKUs.

Start time: Sunday, February 17, 2019, at 2:10 AM UTC

End time: Friday, February 22, 2019, at 11:50 PM UTC

Preliminary root cause: A routine service update to enable new features was implemented with no expected impact to service availability. During this process, a configuration issue was introduced that caused admins to receive errors when attempting to assign licenses to users or move users in or out of groups within an affected SKU.

Next steps:
We're reviewing our update procedures to ensure that service dependency issues are identified during our development and testing cycles.

This is the final update for the event.","Incident","Exchange Online","Provisioning","Management and Provisioning","","Sev2","Affected admins were unable to execute some provisioning workflows."
"New","MO173811","Advisory","Error when loading Office apps","OSDPPlatform","Service degradation","2/12/2019 8:00:00 AM","2/23/2019 8:10:13 AM","","","21254332","Title: Error when loading Office apps

User Impact: Users may experience errors and app closures when loading any Office 2013, Office 2016, or Office 365 desktop apps.

More info: Specifically, users may see an error message that states: ""We're sorry, but Office App has run into an error that is preventing it from working correctly. Office App will need to be closed as a result. Would you like us to repair now?""

As a potential workaround, users can run Windows update. If impact persists following updates, users should restart their Operating System (OS).

Current status: We've rolled out a fix to a majority of the affected environment. If users continue to experience impact, they can run Windows update to ensure that Windows Defender Antivirus has installed Security intelligence version 1.1.287.94.0 or higher to resolve the issue themselves.

Scope of impact: This issue could potentially affect any of your users that are attempting to open Office 2013, Office 2016, or Office 365 desktop apps.

Start time: Tuesday, February 12, 2019, at 12:00 AM UTC

Preliminary root cause: An issue within the February 14, 2019 Windows Defender update resulted in errors and app closures when loading any Office 2013, Office 2016, or Office 365 desktop apps.

Next update by: Tuesday, February 26, 2019, at 1:00 AM UTC","Incident","Office 365 Portal","Administration","Administration","","Sev2","Users may experience errors and app closures when loading any Office 2013, Office 2016, or Office 365 desktop apps."
"New","EX173804","Advisory","Can't access eDiscovery features and content search","Exchange","Service degradation","2/20/2019 6:17:11 AM","2/23/2019 6:31:09 AM","","","14600730","Title: Can't access eDiscovery features and content search

User Impact: Admins may be unable to access eDiscovery features such as content search using the Security and Compliance Center.

More info: This is an incremental update to provide the latest status on the issue.

Current status: Our testing indicates that users should no longer be experiencing impact related to this event. We'll continue to monitor the service through the weekend to confirm that the issue is resolved. 

Next update by: Monday, February 25, 2019, at 8:00 PM UTC","Incident","Exchange Online","Provisioning","Management and Provisioning","","Sev2","Admins may be unable to access eDiscovery features such as content search using the Security and Compliance Center."
"New","TM173240","Advisory","Can?t properly join recurring Teams meetings from the PSTN","microsoftteams","Service restored","11/15/2018 8:00:00 AM","2/21/2019 8:26:03 AM","2/9/2019 3:00:00 AM","","4465334","Title: Can?t properly join recurring Teams meetings from the PSTN

User Impact: PSTN users may be unable to dial in to recurring Teams meetings created before December 5, 2018.

More info: Any recurring Teams meetings created before December 5, 2018, with an end date after January 30, 2019, may have been subject to this problem. All Teams meetings created outside of these parameters were unaffected by the issue.

Final status: We've determined that we won?t be able to restore Public Switched Telephone Network (PSTN) calling functionality to the affected scheduled Teams Meetings. Users will need to reschedule any recurring meetings that require a PSTN bridge. 

Scope of impact: This issue may have potentially affected any of your PSTN users attempting to dial in to the affected subset of recurring Teams meetings.

Start time: Thursday, November 15, 2018, at 12:00 AM UTC

End time: Friday, February 8, 2019, at 7:00 PM UTC

Preliminary root cause: A previously resolved code issue has impacted a subset of recurring Teams meetings, preventing PSTN users from correctly dialing into them.

Next steps:
- We're reviewing our update procedures to identify potential PSTN issues during our development and testing cycles.

This is the final update for the event.","Incident","Microsoft Teams","TeamsComponents","Teams Components","","Sev2","PSTN users may be unable to dial in to recurring Teams meetings created before December 5, 2018"
"New","SP173598","Advisory","People Picker functionality degraded","SharePoint","Service restored","2/15/2019 6:30:00 AM","2/20/2019 10:10:10 AM","2/20/2019 2:00:00 AM","","11902252","Title: People Picker functionality degraded

User Impact: Affected users may have been unable to use some People Picker functionality.

More info: Most core People Picker functionality was unaffected; however, affected users may have been unable to leverage specific features like the people resolver functionality when searching for other users.

Final status: We've confirmed that the deployment is complete and the issue has been remediated.

Scope of impact: This issue may have potentially affected any of your users attempting to use People Picker functionality.

Start time: Thursday, February 14, 2019, at 10:30 PM UTC

End time: Tuesday, February 19, 2019, at 6:00 PM UTC

Preliminary root cause: A coding issue prevented some People Picker features from working as expected.

Next steps:
- We're analyzing performance data and trends on the affected systems to help prevent this problem from happening again.

This is the final update for the event.","Incident","SharePoint Online","spofeatures","SharePoint Features","","Sev2","Affected users may have been unable to use some People Picker functionality."
"New","SP173725","Advisory","Can't perform modern site searches","SharePoint","Restoring service","2/1/2019 8:00:00 AM","2/18/2019 4:56:16 AM","","","11871382","Title: Can't perform modern site searches

User Impact: Users may be unable to perform site searches from modern sites.

More info: Users may receive a ""Something went wrong! Please try searching again or refresh the page"" error. While we're focused on remediation, users can click on the Organization search breadcrumb at the top of the search box to perform a tenant-wide search rather than a site search. Until the fix is deployed, we recommend users add path:""[URL-OF-THE-TEAMSITE]"" to the search box, in addition to your search term, as a workaround to complete a site search.

Current status: We've identified an update to search code has impacted modern site search functionality. We've developed a code fix and are in the process of deploying it throughout all affected environments to resolve the impact.

Scope of impact: This issue could potentially affect any users performing a modern site search.

Start time: Friday, February 1, 2019, at 12:00 AM UTC

Estimated time to resolve: We estimate the fix will be completely deployed by the end of Tuesday, February 26, 2019.

Preliminary root cause: An update to search code, which was expected to prevent a user relevancy search issue for modern sites from impacting site searches, isn't working as intended.

Next update by: Tuesday, February 26, 2019, at 9:00 PM UTC","Incident","SharePoint Online","search","Search and Delve","","Sev2","Users may be unable to perform site searches from modern sites."
"New","TM173669","Advisory","Can't schedule Teams Live Events with Yammer integration","microsoftteams","Service restored","2/16/2019 12:46:00 PM","2/16/2019 1:42:36 PM","2/16/2019 12:54:01 PM","","4411887","Title: Can't schedule Teams Live Events with Yammer integration

User impact: Users may have been unable to schedule Teams Live Events, or Teams Broadcast, with Yammer integration.


More info: Additionally, users may have been unable to update existing Live Events with Yammer integration. 

Final status: We've determined that a recent update inadvertently introduced a code issue that resulted in problems scheduling or updating Teams Live events with Yammer integration. We've reverted the affected update and have confirmed that service health is restored.

Scope of impact: Any user scheduling or updating Teams Live events with Yammer integration may have experienced impact. 

Start time: Friday, February 15, 2019, at 10:53 PM UTC

End time: Friday, February 16, 2018, at 12:00 AM UTC

Preliminary root cause: A recent update inadvertently introduced a code issue that resulted in users being unable to schedule or update Teams Live events with Yammer integration.

Next steps:
We're reviewing our validation and update procedures to recognize and prevent code issues like this from happening in the future. 

This is the final update for the event.","Incident","Microsoft Teams","TeamsComponents","Teams Components","","Sev2","Users may have been unable to schedule Teams Live Events, or Teams Broadcast, with Microsoft Teams integration."
"New","TM173383","Advisory","Can't add new members ","microsoftteams","Service restored","2/12/2019 9:00:00 AM","2/15/2019 10:14:33 AM","2/12/2019 11:28:00 AM","","4422434","Title: Can't add new members 

User Impact: Users may have been unable to add members to Microsoft Teams.

Final status: We investigated the issue and determined that a recent update intended to improve Microsoft Teams functionality, inadvertently caused 400 errors and other issues with Team creation and Team membership management. We've reverted the change and confirmed that the issue has been resolved.

Scope of impact: This issue could have potentially affected any of your users intermittently if they were routed through the affected infrastructure.

Start time: Tuesday, February 12, 2019, at 1:00 AM UTC

End time: Tuesday, February 12, 2019, at 3:28 AM UTC

Preliminary root cause: A recent update intended to improve Microsoft Teams functionality unexpectedly caused impact.

Next steps:
- We're reviewing our update procedures to better identify similar issues during our development and testing cycles.

This is the final update for the event.","Incident","Microsoft Teams","TeamsComponents","Teams Components","","Sev2","Users may have been unable to add members to Microsoft Teams."
"New","EX171088","Advisory","Unable to manage rules in the Outlook client","Exchange","Service restored","12/20/2018 4:44:17 AM","2/15/2019 3:28:36 AM","2/14/2019 2:00:00 AM","","14610348","Title: Unable to manage rules in the Outlook client

User Impact: Users are receiving an error when attempting to manage their rules in the Outlook client.

More info: This is an incremental update to provide the latest status on the issue.

Current status: We've prepared our fix for deployment and will monitor it's progress as it's safely implemented through our change management system. The problem will be fixed for affected customers as the fix reaches their respective environments. For complete details on this event, please reference the post from 5:18 PM UTC on December 27, 2018.

Next update by: Thursday, January 24, 2019, at 7:30 PM UTC","Incident","Exchange Online","Provisioning","Management and Provisioning","","Sev2","Users are receiving an error when attempting to manage their rules in the Outlook client."
"New","MO172571","Advisory","Incomplete Teams user reports","OSDPPlatform","Service restored","1/17/2019 4:00:00 PM","2/13/2019 9:29:18 PM","2/13/2019 8:13:00 PM","","21101811","Title: Incomplete Teams user reports

User Impact: Teams user reports were not showing results since January 17th, 2019.

More info: Teams channel data from December 1st, 2018 to February 6th, 2019 was delayed.

Final status: We've successfully migrated the data to the correct infrastructure and confirmed that the issue is resolved.

Scope of impact: Impact was specific to admins who were served through the affected infrastructure and were viewing Teams user reports.

Start time: Thursday, January 17, 2019, at 8:00 AM UTC

End time: Wednesday, February 13, 2019, at 12:13 PM UTC

Preliminary root cause: A configuration issue caused the infrastructure responsible for storing and processing usage data to become unhealthy.

Next steps:
- We?re reviewing our code for improved performance and potential automated recovery options to reduce or avoid similar impact in the future.

This is the final update for the event.","Incident","Office 365 Portal","Administration","Administration","","Sev2","Teams user reports were not showing results since January 17th, 2019."
